Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion
Public Class,"org.jfree.chart.BufferedImageRenderingSource",50,50
Public Class,"org.jfree.chart.ChartColor",0,0
Public Abstract Class,"org.jfree.chart.ChartFactory",0,5
Public Class,"org.jfree.chart.ChartFrame",0,33
Public Class,"org.jfree.chart.ChartMouseEvent",50,50
Public Interface,"org.jfree.chart.ChartMouseListener",0,0
Public Class,"org.jfree.chart.ChartPanel",93,97
Public Class,"org.jfree.chart.ChartRenderingInfo",59,64
Public Interface,"org.jfree.chart.ChartTheme",0,0
Public Class,"org.jfree.chart.ChartTransferable",45,70
Public Abstract Class,"org.jfree.chart.ChartUtilities",0,0
Public Interface,"org.jfree.chart.Drawable",0,0
Public Interface,"org.jfree.chart.Effect3D",0,0
Public Class,"org.jfree.chart.JFreeChart",75,90
Class,"org.jfree.chart.JFreeChartInfo",0,0
Public Class,"org.jfree.chart.LegendItem",91,91
Public Class,"org.jfree.chart.LegendItemCollection",0,0
Public Interface,"org.jfree.chart.LegendItemSource",0,0
Public Final Class,"org.jfree.chart.LegendRenderingOrder",0,25
Class,"org.jfree.chart.MouseWheelHandler",20,30
Public Class,"org.jfree.chart.PolarChartPanel",0,0
Public Interface,"org.jfree.chart.RenderingSource",0,0
Public Class,"org.jfree.chart.StandardChartTheme",84,92
Anonymous Class,"org.jfree.chart.StandardChartTheme.createLegacyTheme.(Anon_1)",0,0
Public Abstract Class,"org.jfree.chart.annotations.AbstractAnnotation",45,55
Public Abstract Class,"org.jfree.chart.annotations.AbstractXYAnnotation",38,38
Public Interface,"org.jfree.chart.annotations.Annotation",0,0
Public Interface,"org.jfree.chart.annotations.CategoryAnnotation",0,0
Public Class,"org.jfree.chart.annotations.CategoryLineAnnotation",65,65
Public Class,"org.jfree.chart.annotations.CategoryPointerAnnotation",72,72
Public Class,"org.jfree.chart.annotations.CategoryTextAnnotation",45,45
Public Class,"org.jfree.chart.annotations.TextAnnotation",69,69
Public Interface,"org.jfree.chart.annotations.XYAnnotation",0,0
Public Interface,"org.jfree.chart.annotations.XYAnnotationBoundsInfo",0,0
Public Class,"org.jfree.chart.annotations.XYBoxAnnotation",29,51
Public Class,"org.jfree.chart.annotations.XYDataImageAnnotation",65,71
Public Class,"org.jfree.chart.annotations.XYDrawableAnnotation",22,39
Public Class,"org.jfree.chart.annotations.XYImageAnnotation",56,65
Public Class,"org.jfree.chart.annotations.XYLineAnnotation",33,46
Public Class,"org.jfree.chart.annotations.XYPointerAnnotation",72,72
Public Class,"org.jfree.chart.annotations.XYPolygonAnnotation",35,50
Public Class,"org.jfree.chart.annotations.XYShapeAnnotation",11,33
Public Class,"org.jfree.chart.annotations.XYTextAnnotation",80,81
Public Class,"org.jfree.chart.annotations.XYTitleAnnotation",58,65
Public Class,"org.jfree.chart.annotations.junit.AnnotationsPackageTests",0,0
Public Class,"org.jfree.chart.annotations.junit.CategoryLineAnnotationTests",0,0
