Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion
Public Abstract Class,"org.apache.commons.collections.AbstractTestObject",0,0
Public Class,"org.apache.commons.collections.ArrayStack",0,0
Public Interface,"org.apache.commons.collections.Bag",0,0
Public Class,"org.apache.commons.collections.BagUtils",0,0
Public Class,"org.apache.commons.collections.BeanMap",69,84
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_3)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_4)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_5)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_6)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_7)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.(Anon_8)",0,0
Protected Static Class,"org.apache.commons.collections.BeanMap.MyMapEntry",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.entryIterator.(Anon_11)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.entrySet.(Anon_9)",0,0
Anonymous Class,"org.apache.commons.collections.BeanMap.valueIterator.(Anon_10)",0,0
Public Interface,"org.apache.commons.collections.BidiMap",0,0
Public Final Class,"org.apache.commons.collections.BinaryHeap",41,72
Anonymous Class,"org.apache.commons.collections.BinaryHeap.iterator.(Anon_1)",17,17
Public Interface,"org.apache.commons.collections.BoundedCollection",0,0
Public Class,"org.apache.commons.collections.BoundedFifoBuffer",46,64
Anonymous Class,"org.apache.commons.collections.BoundedFifoBuffer.iterator.(Anon_1)",22,22
Public Interface,"org.apache.commons.collections.BoundedMap",0,0
Public Interface,"org.apache.commons.collections.Buffer",0,0
Public Class,"org.apache.commons.collections.BufferOverflowException",0,25
Public Class,"org.apache.commons.collections.BufferUnderflowException",0,25
Public Class,"org.apache.commons.collections.BufferUtils",0,0
Public Class,"org.apache.commons.collections.BulkTest",60,60
Class,"org.apache.commons.collections.BulkTestSuiteMaker",68,75
Public Interface,"org.apache.commons.collections.Closure",0,0
Public Class,"org.apache.commons.collections.ClosureUtils",0,0
Public Class,"org.apache.commons.collections.CollectionUtils",85,98
Public Class,"org.apache.commons.collections.ComparatorUtils",0,0
Public Class,"org.apache.commons.collections.CursorableLinkedList",50,74
Public Class,"org.apache.commons.collections.CursorableLinkedList.Cursor",50,60
Class,"org.apache.commons.collections.CursorableLinkedList.ListIter",30,50
Static Class,"org.apache.commons.collections.CursorableLinkedList.Listable",57,57
Class,"org.apache.commons.collections.CursorableSubList",63,92
Public Abstract Class,"org.apache.commons.collections.DefaultMapBag",56,77
Static Class,"org.apache.commons.collections.DefaultMapBag.BagIterator",19,19
Public Class,"org.apache.commons.collections.DefaultMapEntry",30,60
Public Final Class,"org.apache.commons.collections.DoubleOrderedMap",86,93
Private Abstract Class,"org.apache.commons.collections.DoubleOrderedMap.DoubleOrderedMapIterator",31,31
Private Static Final Class,"org.apache.commons.collections.DoubleOrderedMap.Node",81,81
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.entrySet.(Anon_11)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.entrySet.(Anon_11).iterator.(Anon_12)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.entrySetByValue.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.entrySetByValue.(Anon_1).iterator.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.keySet.(Anon_7)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.keySet.(Anon_7).iterator.(Anon_8)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.keySetByValue.(Anon_3)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.keySetByValue.(Anon_3).iterator.(Anon_4)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.values.(Anon_9)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.values.(Anon_9).iterator.(Anon_10)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.valuesByValue.(Anon_5)",0,0
Anonymous Class,"org.apache.commons.collections.DoubleOrderedMap.valuesByValue.(Anon_5).iterator.(Anon_6)",0,0
Public Class,"org.apache.commons.collections.EnumerationUtils",0,0
Public Class,"org.apache.commons.collections.ExtendedProperties",82,93
Static Class,"org.apache.commons.collections.ExtendedProperties.PropertiesReader",0,0
Static Class,"org.apache.commons.collections.ExtendedProperties.PropertiesTokenizer",0,0
Public Interface,"org.apache.commons.collections.Factory",0,0
Public Class,"org.apache.commons.collections.FactoryUtils",0,0
Public Class,"org.apache.commons.collections.FastArrayList",9,9
Private Class,"org.apache.commons.collections.FastArrayList.ListIter",42,42
Private Class,"org.apache.commons.collections.FastArrayList.SubList",11,49
Private Class,"org.apache.commons.collections.FastArrayList.SubList.SubListIter",25,42
Public Class,"org.apache.commons.collections.FastHashMap",29,29
Private Abstract Class,"org.apache.commons.collections.FastHashMap.CollectionView",0,0
Private Class,"org.apache.commons.collections.FastHashMap.CollectionView.CollectionViewIterator",17,17
Private Class,"org.apache.commons.collections.FastHashMap.EntrySet",0,0
Private Class,"org.apache.commons.collections.FastHashMap.KeySet",0,0
Private Class,"org.apache.commons.collections.FastHashMap.Values",0,0
Public Class,"org.apache.commons.collections.FastTreeMap",22,22
Private Abstract Class,"org.apache.commons.collections.FastTreeMap.CollectionView",0,0
Private Class,"org.apache.commons.collections.FastTreeMap.CollectionView.CollectionViewIterator",17,17
Private Class,"org.apache.commons.collections.FastTreeMap.EntrySet",0,0
Private Class,"org.apache.commons.collections.FastTreeMap.KeySet",0,0
Private Class,"org.apache.commons.collections.FastTreeMap.Values",0,0
Public Class,"org.apache.commons.collections.FunctorException",13,25
Public Class,"org.apache.commons.collections.HashBag",0,0
Public Interface,"org.apache.commons.collections.IterableMap",0,0
Public Class,"org.apache.commons.collections.IteratorUtils",0,0
Public Interface,"org.apache.commons.collections.KeyValue",0,0
Public Class,"org.apache.commons.collections.LRUMap",30,40
Public Class,"org.apache.commons.collections.ListUtils",0,0
Class,"org.apache.commons.collections.LocalTestNode",25,63
Public Interface,"org.apache.commons.collections.MapIterator",0,0
Public Class,"org.apache.commons.collections.MapPerformance",0,0
Private Static Class,"org.apache.commons.collections.MapPerformance.DummyMap",0,0
Public Class,"org.apache.commons.collections.MapUtils",0,0
Public Class,"org.apache.commons.collections.MultiHashMap",95,95
Private Class,"org.apache.commons.collections.MultiHashMap.ValueIterator",20,50
Private Class,"org.apache.commons.collections.MultiHashMap.Values",0,0
Public Interface,"org.apache.commons.collections.MultiMap",0,0
Public Interface,"org.apache.commons.collections.OrderedBidiMap",0,0
Public Interface,"org.apache.commons.collections.OrderedIterator",0,0
Public Interface,"org.apache.commons.collections.OrderedMap",0,0
Public Interface,"org.apache.commons.collections.OrderedMapIterator",0,0
Public Interface,"org.apache.commons.collections.Predicate",0,0
Public Class,"org.apache.commons.collections.PredicateUtils",0,0
Public Interface,"org.apache.commons.collections.PriorityQueue",0,0
Public Abstract Class,"org.apache.commons.collections.ProxyMap",0,0
Public Class,"org.apache.commons.collections.ReferenceMap",73,87
Private Class,"org.apache.commons.collections.ReferenceMap.Entry",50,66
Private Class,"org.apache.commons.collections.ReferenceMap.EntryIterator",43,63
Private Class,"org.apache.commons.collections.ReferenceMap.KeyIterator",0,0
Private Static Class,"org.apache.commons.collections.ReferenceMap.SoftRef",0,0
Private Class,"org.apache.commons.collections.ReferenceMap.ValueIterator",0,0
Private Static Class,"org.apache.commons.collections.ReferenceMap.WeakRef",0,0
Anonymous Class,"org.apache.commons.collections.ReferenceMap.entrySet.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.collections.ReferenceMap.keySet.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections.ReferenceMap.values.(Anon_3)",0,0
Public Interface,"org.apache.commons.collections.ResettableIterator",0,0
Public Interface,"org.apache.commons.collections.ResettableListIterator",0,0
Public Class,"org.apache.commons.collections.SequencedHashMap",55,73
Private Static Class,"org.apache.commons.collections.SequencedHashMap.Entry",61,82
Private Class,"org.apache.commons.collections.SequencedHashMap.OrderedIterator",33,33
Anonymous Class,"org.apache.commons.collections.SequencedHashMap.entrySet.(Anon_3)",0,0
Anonymous Class,"org.apache.commons.collections.SequencedHashMap.keySet.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.collections.SequencedHashMap.values.(Anon_2)",0,0
Public Class,"org.apache.commons.collections.SetUtils",0,0
Public Interface,"org.apache.commons.collections.SortedBag",0,0
Public Interface,"org.apache.commons.collections.SortedBidiMap",0,0
Public Final Class,"org.apache.commons.collections.StaticBucketMap",24,45
Private Class,"org.apache.commons.collections.StaticBucketMap.EntryIterator",25,58
Private Class,"org.apache.commons.collections.StaticBucketMap.EntrySet",0,0
Private Class,"org.apache.commons.collections.StaticBucketMap.KeyIterator",0,0
Private Class,"org.apache.commons.collections.StaticBucketMap.KeySet",0,0
Private Static Final Class,"org.apache.commons.collections.StaticBucketMap.Lock",0,0
Private Static Final Class,"org.apache.commons.collections.StaticBucketMap.Node",53,53
Private Class,"org.apache.commons.collections.StaticBucketMap.ValueIterator",0,0
Private Class,"org.apache.commons.collections.StaticBucketMap.Values",0,0
Public Final Class,"org.apache.commons.collections.SynchronizedPriorityQueue",0,0
Public Class,"org.apache.commons.collections.TestAll",0,0
Public Class,"org.apache.commons.collections.TestAllPackages",0,0
Public Abstract Class,"org.apache.commons.collections.TestArrayList",50,50
Public Class,"org.apache.commons.collections.TestArrayStack",50,50
Public Class,"org.apache.commons.collections.TestBagUtils",83,83
Public Class,"org.apache.commons.collections.TestBeanMap",67,89
Public Static Class,"org.apache.commons.collections.TestBeanMap.BeanWithProperties",90,90
Public Class,"org.apache.commons.collections.TestBinaryHeap",0,0
Public Class,"org.apache.commons.collections.TestBoundedFifoBuffer",0,0
Public Class,"org.apache.commons.collections.TestBoundedFifoBuffer2",0,0
Public Class,"org.apache.commons.collections.TestBufferUtils",0,0
Anonymous Class,"org.apache.commons.collections.TestBufferUtils.testpredicatedBuffer.(Anon_1)",0,0
Public Class,"org.apache.commons.collections.TestClosureUtils",0,0
Static Class,"org.apache.commons.collections.TestClosureUtils.MockClosure",0,0
Static Class,"org.apache.commons.collections.TestClosureUtils.MockTransformer",0,0
Public Class,"org.apache.commons.collections.TestCollectionUtils",84,84
Anonymous Class,"org.apache.commons.collections.TestCollectionUtils.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.collections.TestCollectionUtils.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections.TestCollectionUtils.bulkTestTypedCollection.(Anon_5)",0,0
Anonymous Class,"org.apache.commons.collections.TestCollectionUtils.bulkTestTypedCollection.(Anon_5).bulkTestAll.(Anon_6)",0,0
Anonymous Class,"org.apache.commons.collections.TestCollectionUtils.testPredicatedCollection.(Anon_4)",0,0
Anonymous Class,"org.apache.commons.collections.TestCollectionUtils.testTransform2.(Anon_3)",0,0
Public Class,"org.apache.commons.collections.TestCursorableLinkedList",13,13
Public Class,"org.apache.commons.collections.TestDoubleOrderedMap",0,0
Public Class,"org.apache.commons.collections.TestEnumerationUtils",0,0
Public Class,"org.apache.commons.collections.TestExtendedProperties",83,83
Public Class,"org.apache.commons.collections.TestFactoryUtils",0,0
Public Static Class,"org.apache.commons.collections.TestFactoryUtils.Mock1",0,0
Public Static Class,"org.apache.commons.collections.TestFactoryUtils.Mock2",0,0
Public Static Class,"org.apache.commons.collections.TestFactoryUtils.Mock3",25,25
Public Class,"org.apache.commons.collections.TestFastArrayList",0,0
Public Class,"org.apache.commons.collections.TestFastArrayList1",0,0
Public Class,"org.apache.commons.collections.TestFastHashMap",0,0
Public Class,"org.apache.commons.collections.TestFastHashMap1",0,0
Public Class,"org.apache.commons.collections.TestFastTreeMap",0,0
Public Class,"org.apache.commons.collections.TestFastTreeMap1",0,0
Public Class,"org.apache.commons.collections.TestHashBag",0,0
Public Class,"org.apache.commons.collections.TestIteratorUtils",0,0
Public Class,"org.apache.commons.collections.TestLRUMap",0,0
Private Class,"org.apache.commons.collections.TestLRUMap.LRUCounter",50,50
Public Abstract Class,"org.apache.commons.collections.TestLinkedList",0,0
Public Class,"org.apache.commons.collections.TestListUtils",80,80
Anonymous Class,"org.apache.commons.collections.TestListUtils.testLazyList.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections.TestListUtils.testpredicatedList.(Anon_1)",0,0
Public Class,"org.apache.commons.collections.TestMapUtils",0,0
Anonymous Class,"org.apache.commons.collections.TestMapUtils.bulkTestTypedMap.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections.TestMapUtils.getPredicate.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.collections.TestMapUtils.testConvertResourceBundle.(Anon_4)",0,0
Anonymous Class,"org.apache.commons.collections.TestMapUtils.testLazyMapTransformer.(Anon_3)",0,0
Public Class,"org.apache.commons.collections.TestMultiHashMap",81,89
Private Static Class,"org.apache.commons.collections.TestMultiHashMap.MapPair",0,0
Public Class,"org.apache.commons.collections.TestPredicateUtils",0,0
Public Class,"org.apache.commons.collections.TestReferenceMap",82,82
Public Class,"org.apache.commons.collections.TestSequencedHashMap",53,53
Public Class,"org.apache.commons.collections.TestSetUtils",0,0
Anonymous Class,"org.apache.commons.collections.TestSetUtils.testpredicatedSet.(Anon_1)",0,0
Public Class,"org.apache.commons.collections.TestStaticBucketMap",0,0
Public Class,"org.apache.commons.collections.TestTransformerUtils",0,0
Public Class,"org.apache.commons.collections.TestTreeBag",0,0
Public Abstract Class,"org.apache.commons.collections.TestTreeMap",50,50
Public Abstract Class,"org.apache.commons.collections.TestTypedCollection",0,0
Public Class,"org.apache.commons.collections.TestUnboundedFifoBuffer",0,0
Public Interface,"org.apache.commons.collections.Transformer",0,0
Public Class,"org.apache.commons.collections.TransformerUtils",0,0
Public Class,"org.apache.commons.collections.TreeBag",0,0
Public Class,"org.apache.commons.collections.UnboundedFifoBuffer",23,50
Anonymous Class,"org.apache.commons.collections.UnboundedFifoBuffer.iterator.(Anon_1)",17,17
Public Interface,"org.apache.commons.collections.Unmodifiable",0,0
Public Abstract Class,"org.apache.commons.collections.bag.AbstractBagDecorator",0,0
