Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion
Public Class,"org.apache.commons.lang3.AnnotationUtils",0,0
Anonymous Class,"org.apache.commons.lang3.AnnotationUtils.(Anon_1)",0,0
Public Class,"org.apache.commons.lang3.AnnotationUtilsTest",84,84
Public Annotation,"org.apache.commons.lang3.AnnotationUtilsTest.NestAnnotation",0,0
Public Annotation,"org.apache.commons.lang3.AnnotationUtilsTest.TestAnnotation",0,0
Anonymous Class,"org.apache.commons.lang3.AnnotationUtilsTest.testGeneratedAnnotationEquivalentToRealAnnotation.(Anon_1)",0,0
Public Class,"org.apache.commons.lang3.ArrayUtils",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.add.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.add.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.addAll.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.clone.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.isNotEmpty.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.remove.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.removeAll.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.removeElement.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.removeElements.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.subarray.T",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtils.toArray.T",0,0
Public Class,"org.apache.commons.lang3.ArrayUtilsAddTest",0,0
Public Class,"org.apache.commons.lang3.ArrayUtilsRemoveMultipleTest",0,0
Public Class,"org.apache.commons.lang3.ArrayUtilsRemoveTest",0,0
Public Class,"org.apache.commons.lang3.ArrayUtilsTest",0,0
Anonymous Class,"org.apache.commons.lang3.ArrayUtilsTest.testToMap.(Anon_1)",0,0
Generic Parameter,"org.apache.commons.lang3.ArrayUtilsTest.toArrayPropagatingType.T",0,0
Public Class,"org.apache.commons.lang3.BitField",36,72
Public Class,"org.apache.commons.lang3.BitFieldTest",0,0
Public Class,"org.apache.commons.lang3.BooleanUtils",0,0
Public Class,"org.apache.commons.lang3.BooleanUtilsTest",0,0
Public Class,"org.apache.commons.lang3.CharEncoding",0,0
Public Class,"org.apache.commons.lang3.CharEncodingTest",0,0
Final Class,"org.apache.commons.lang3.CharRange",39,63
Private Static Class,"org.apache.commons.lang3.CharRange.CharacterIterator",33,40
Public Class,"org.apache.commons.lang3.CharRangeTest",0,0
Public Class,"org.apache.commons.lang3.CharSequenceUtils",0,0
Public Class,"org.apache.commons.lang3.CharSequenceUtilsTest",0,0
Public Class,"org.apache.commons.lang3.CharSet",0,25
Public Class,"org.apache.commons.lang3.CharSetTest",0,0
Public Class,"org.apache.commons.lang3.CharSetUtils",0,0
Public Class,"org.apache.commons.lang3.CharSetUtilsTest",0,0
Public Class,"org.apache.commons.lang3.CharUtils",0,0
Public Class,"org.apache.commons.lang3.CharUtilsPerfRun",0,0
Public Class,"org.apache.commons.lang3.CharUtilsTest",0,0
Class,"org.apache.commons.lang3.ClassNotFoundSerialization",0,0
Public Class,"org.apache.commons.lang3.ClassUtils",0,0
Public Class,"org.apache.commons.lang3.ClassUtilsTest",0,0
Private Static Class,"org.apache.commons.lang3.ClassUtilsTest.CX",0,0
Private Static Class,"org.apache.commons.lang3.ClassUtilsTest.CY",0,0
Private Interface,"org.apache.commons.lang3.ClassUtilsTest.IA",0,0
Private Interface,"org.apache.commons.lang3.ClassUtilsTest.IB",0,0
Private Interface,"org.apache.commons.lang3.ClassUtilsTest.IC",0,0
Private Interface,"org.apache.commons.lang3.ClassUtilsTest.ID",0,0
Private Interface,"org.apache.commons.lang3.ClassUtilsTest.IE",0,0
Private Interface,"org.apache.commons.lang3.ClassUtilsTest.IF",0,0
Private Static Class,"org.apache.commons.lang3.ClassUtilsTest.Inner",0,0
Private Class,"org.apache.commons.lang3.ClassUtilsTest.Inner.DeeplyNested",0,0
Anonymous Class,"org.apache.commons.lang3.ClassUtilsTest.test_getPackageCanonicalName_Class.(Anon_9)",0,0
Class,"org.apache.commons.lang3.ClassUtilsTest.test_getPackageCanonicalName_Class.Named",0,0
Anonymous Class,"org.apache.commons.lang3.ClassUtilsTest.test_getPackageCanonicalName_Object.(Anon_8)",0,0
Class,"org.apache.commons.lang3.ClassUtilsTest.test_getPackageCanonicalName_Object.Named",0,0
Anonymous Class,"org.apache.commons.lang3.ClassUtilsTest.test_getPackageName_Class.(Anon_4)",0,0
Class,"org.apache.commons.lang3.ClassUtilsTest.test_getPackageName_Class.Named",0,0
Anonymous Class,"org.apache.commons.lang3.ClassUtilsTest.test_getShortCanonicalName_Class.(Anon_7)",0,0
Class,"org.apache.commons.lang3.ClassUtilsTest.test_getShortCanonicalName_Class.Named",0,0
Anonymous Class,"org.apache.commons.lang3.ClassUtilsTest.test_getShortCanonicalName_Object.(Anon_6)",0,0
Class,"org.apache.commons.lang3.ClassUtilsTest.test_getShortCanonicalName_Object.Named",0,0
Anonymous Class,"org.apache.commons.lang3.ClassUtilsTest.test_getShortClassName_Class.(Anon_2)",0,0
