Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential
File,"AbstractAnnotation.java",12,0,4,8,1,1,0.00,0.00,0,0,,,,,1,0,0,11,,11,11,2,11,,0,2,3,6,,222,21,65,30,23,136,,32,48,29,22,,,3,1,,2,,,2.09,15,11
File,"AbstractBlock.java",14,0,6,7,2,1,0.00,0.00,0,0,,,,,1,0,1,36,,36,36,7,36,,0,4,10,22,,631,49,248,82,128,334,,122,181,79,114,,,10,10,,1,,,1.35,58,45
File,"AbstractBlockTests.java",23,2,17,4,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,188,23,103,33,71,62,,82,90,32,66,,,2,1,,1,,,0.60,7,5
File,"AbstractCategoryDataset.java",10,0,3,6,1,1,0.00,0.00,0,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,95,10,16,8,4,69,,8,12,8,4,,,1,1,,0,,,4.31,3,3
File,"AbstractCategoryItemLabelGenerator.java",17,0,10,7,2,1,0.00,0.00,0,0,,,,,1,0,1,13,,13,13,5,13,,0,0,5,8,,334,27,144,47,75,163,,71,102,39,68,,,6,6,,2,,,1.13,30,18
File,"AbstractCategoryItemRenderer.java",25,1,14,11,3,1,0.00,0.00,0,0,,,,,1,0,1,66,,66,66,14,66,,0,0,11,55,,1994,146,998,356,585,851,,444,629,268,451,,,19,14,,4,,,0.85,184,89
File,"AbstractCategoryItemRendererTests.java",30,2,23,5,2,1,0.00,0.00,0,0,,,,,1,1,0,11,,11,10,0,11,,0,0,0,11,,414,43,271,58,206,100,,184,205,55,168,,,4,1,,1,,,0.37,20,11
File,"AbstractDataset.java",13,0,4,9,1,1,0.00,0.00,0,0,,,,,1,0,1,12,,12,12,2,12,,0,2,3,7,,263,20,72,35,25,172,,39,55,34,24,,,3,1,,2,,,2.39,15,12
File,"AbstractDialLayer.java",12,0,5,7,1,1,0.00,0.00,0,0,,,,,1,0,0,11,,11,11,2,11,,0,1,2,8,,213,19,67,28,28,127,,35,51,28,26,,,3,3,,2,,,1.90,15,13
File,"AbstractDialLayerTests.java",17,1,11,5,1,1,0.00,0.00,0,0,,,,,1,1,0,5,,5,4,0,5,,0,0,0,5,,150,16,68,30,40,66,,47,55,29,35,,,2,1,,1,,,0.97,7,5
File,"AbstractIntervalXYDataset.java",17,0,8,9,2,1,0.00,0.00,0,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,126,8,36,15,20,82,,17,26,14,16,,,2,1,,1,,,2.28,8,4
File,"AbstractMouseHandler.java",9,0,2,6,1,1,0.00,0.00,0,0,,,,,1,0,0,10,,10,10,1,10,,0,0,0,10,,154,15,31,17,3,108,,8,19,16,3,,,1,1,,0,,,3.48,10,10
File,"AbstractObjectList.java",16,1,9,6,2,2,0.00,0.00,0,0,,,,,1,0,2,13,,13,13,3,13,,0,2,6,5,,294,32,129,38,73,133,,67,99,40,66,,,6,6,,3,,,1.03,31,20
File,"AbstractOverlay.java",11,0,6,6,2,1,0.00,0.00,0,0,,,,,1,0,0,5,,5,5,1,5,,0,0,1,4,,122,12,37,15,14,73,,18,28,16,14,,,3,1,,2,,,1.97,9,5
File,"AbstractPieDataset.java",10,0,3,6,1,1,0.00,0.00,0,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,96,10,17,9,4,69,,8,12,8,4,,,1,1,,0,,,4.06,3,3
File,"AbstractPieItemLabelGenerator.java",18,0,10,8,3,2,0.00,0.00,0,0,,,,,1,0,1,9,,9,9,3,9,,0,0,3,6,,247,22,107,35,58,118,,52,76,31,50,,,6,6,,2,,,1.10,23,14
File,"AbstractPieLabelDistributor.java",8,0,4,5,1,1,0.00,0.00,0,0,,,,,1,0,0,5,,6,6,1,6,,0,0,0,6,,112,11,25,11,7,76,,11,18,11,7,,,2,1,,1,,,3.04,6,5
File,"AbstractRenderer.java",17,0,7,9,2,1,0.00,0.00,0,0,,,,,1,0,11,157,,158,158,46,158,,0,2,5,151,,3311,293,1269,309,689,1749,,540,863,289,609,,,41,41,,2,,,1.38,322,197
File,"AbstractRendererTests.java",52,8,38,7,1,1,0.00,0.00,0,0,,,,,2,1,0,14,,14,13,1,14,,0,0,0,14,,843,127,566,71,494,155,,467,487,70,436,,,3,1,,1,,,0.27,18,14
File,"AbstractSeriesDataset.java",11,0,5,6,2,2,0.00,0.00,0,0,,,,,1,0,1,3,,5,5,0,5,,0,0,1,4,,118,10,26,14,8,82,,15,21,14,8,,,3,3,,2,,,3.15,5,5
File,"AbstractXYAnnotation.java",14,0,7,7,2,2,0.00,0.00,0,0,,,,,1,0,0,8,,9,9,2,9,,0,0,2,7,,209,16,76,33,31,117,,35,52,26,28,,,5,5,,1,,,1.54,16,14
File,"AbstractXYDataset.java",13,0,5,7,1,1,0.00,0.00,0,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,133,10,34,16,14,89,,17,25,15,12,,,2,1,,1,,,2.62,7,5
File,"AbstractXYItemLabelGenerator.java",17,1,9,7,2,2,0.00,0.00,0,0,,,,,1,0,1,16,,16,16,6,16,,0,0,6,10,,379,37,160,50,82,182,,73,108,41,71,,,9,9,,2,,,1.14,34,24
File,"AbstractXYItemRenderer.java",27,1,16,10,3,1,0.00,0.00,0,0,,,,,1,0,1,64,,64,64,12,64,,0,1,9,54,,2045,150,1112,394,687,785,,519,717,302,540,,,19,14,,4,,,0.71,199,91
File,"AbstractXYItemRendererTests.java",20,1,13,5,1,1,0.00,0.00,0,0,,,,,1,1,1,9,,9,8,0,9,,0,1,0,8,,251,26,137,45,94,88,,89,102,42,74,,,2,1,,1,,,0.64,12,9
File,"AbstractXYZDataset.java",16,0,8,8,2,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,68,4,12,6,5,52,,5,8,5,4,,,2,1,,1,,,4.33,2,1
File,"Align.java",25,5,14,6,4,1,0.00,0.00,0,0,,,,,1,1,20,2,,2,1,0,2,,0,1,0,1,,163,35,52,29,38,76,,34,43,29,18,,,7,1,,1,,,1.46,8,2
File,"Annotation.java",0,0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,2,2,0,2,,0,0,0,2,,66,6,6,5,0,54,,4,5,5,0,,,0,0,,0,,,9.00,0,0
