Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential
Public Class,org.jfree.chart.BufferedImageRenderingSource,13.0,0.0,6.0,7.0,2.0,2.0,,,,,2.0,9.0,9.0,0.0,,0.0,0.0,,,,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,,72.0,7.0,27.0,10.0,12.0,38.0,,10.0,18.0,9.0,12.0,,,3.0,3.0,1.0,2.0,50.0,50.0,1.41,7,6
Public Class,org.jfree.chart.ChartColor,29.0,1.0,21.0,8.0,1.0,1.0,,,,,1.0,1.0,1.0,0.0,,1.0,24.0,,,,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,139.0,28.0,67.0,27.0,61.0,44.0,,26.0,29.0,27.0,26.0,,,1.0,1.0,2.0,0.0,0.0,0.0,0.66,2,2
Public Abstract Class,org.jfree.chart.ChartFactory,35.0,2.0,18.0,15.0,2.0,1.0,,,,,1.0,101.0,101.0,0.0,,40.0,1.0,,,,0.0,0.0,40.0,40.0,0.0,0.0,0.0,40.0,,1450.0,134.0,703.0,351.0,519.0,616.0,,403.0,467.0,228.0,416.0,,,14.0,1.0,1.0,3.0,5.0,0.0,0.88,73,40
Public Class,org.jfree.chart.ChartFrame,12.0,0.0,6.0,6.0,1.0,1.0,,,,,1.0,5.0,5.0,0.0,,0.0,0.0,,,,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,,48.0,5.0,20.0,5.0,9.0,23.0,,8.0,13.0,5.0,8.0,,,2.0,1.0,2.0,1.0,33.0,0.0,1.15,4,3
Public Class,org.jfree.chart.ChartMouseEvent,10.0,0.0,4.0,6.0,1.0,1.0,,,,,2.0,3.0,3.0,0.0,,0.0,1.0,,,,4.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,,64.0,9.0,22.0,10.0,8.0,33.0,,11.0,16.0,9.0,7.0,,,1.0,1.0,2.0,0.0,50.0,50.0,1.5,4,4
Public Interface,org.jfree.chart.ChartMouseListener,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,2.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,18.0,3.0,4.0,3.0,0.0,11.0,,2.0,3.0,3.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,2.75,0,0
Public Class,org.jfree.chart.ChartPanel,20.0,1.0,10.0,9.0,2.0,1.0,,,,,10.0,79.0,79.0,1.0,,0.0,23.0,,,,123.0,57.0,123.0,123.0,0.0,4.0,4.0,115.0,,2877.0,329.0,1332.0,417.0,864.0,1227.0,,656.0,917.0,367.0,686.0,,,16.0,3.0,2.0,3.0,97.0,93.0,0.92,263,129
Public Class,org.jfree.chart.ChartRenderingInfo,12.0,0.0,5.0,7.0,2.0,1.0,,,,,3.0,14.0,14.0,0.0,,0.0,1.0,,,,14.0,4.0,14.0,14.0,0.0,2.0,0.0,12.0,,230.0,20.0,82.0,24.0,39.0,128.0,,35.0,58.0,23.0,36.0,,,6.0,6.0,1.0,1.0,64.0,59.0,1.56,22,19
Public Interface,org.jfree.chart.ChartTheme,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,1.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10.0,2.0,3.0,2.0,0.0,5.0,,1.0,2.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0,0
Public Class,org.jfree.chart.ChartTransferable,23.0,1.0,12.0,11.0,2.0,1.0,,,,,2.0,10.0,10.0,0.0,,0.0,0.0,,,,7.0,8.0,7.0,7.0,0.0,1.0,0.0,6.0,,222.0,22.0,93.0,34.0,56.0,107.0,,47.0,62.0,25.0,42.0,,,6.0,1.0,1.0,1.0,70.0,45.0,1.15,14,7
Public Abstract Class,org.jfree.chart.ChartUtilities,23.0,2.0,9.0,12.0,2.0,1.0,,,,,1.0,24.0,24.0,0.0,,27.0,0.0,,,,0.0,0.0,27.0,27.0,0.0,0.0,0.0,27.0,,663.0,77.0,246.0,95.0,120.0,340.0,,72.0,121.0,47.0,85.0,,,5.0,1.0,1.0,1.0,0.0,0.0,1.38,44,27
Public Interface,org.jfree.chart.Drawable,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2.0,2.0,3.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,11.0,2.0,3.0,2.0,0.0,6.0,,1.0,2.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0
Public Interface,org.jfree.chart.Effect3D,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,3.0,,0.0,0.0,,,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,,16.0,2.0,4.0,3.0,0.0,10.0,,2.0,3.0,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0
Public Class,org.jfree.chart.JFreeChart,19.0,1.0,10.0,9.0,2.0,1.0,,,,,6.0,65.0,65.0,0.0,,1.0,7.0,,,,69.0,15.0,70.0,70.0,0.0,3.0,3.0,64.0,,1518.0,143.0,702.0,170.0,431.0,676.0,,315.0,475.0,149.0,367.0,,,16.0,16.0,1.0,3.0,90.0,75.0,0.96,159,90
Class,org.jfree.chart.JFreeChartInfo,72.0,3.0,64.0,6.0,2.0,1.0,,,,,1.0,9.0,9.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,37.0,0.0,0.0,0.0,2.0,,153.0,9.0,130.0,11.0,120.0,15.0,,16.0,21.0,8.0,17.0,,,3.0,1.0,4.0,2.0,0.0,0.0,0.12,4,2
Public Class,org.jfree.chart.LegendItem,16.0,0.0,8.0,9.0,2.0,1.0,,,,,3.0,27.0,27.0,0.0,,0.0,3.0,,,,56.0,23.0,56.0,56.0,0.0,3.0,0.0,53.0,,1091.0,95.0,452.0,122.0,243.0,568.0,,190.0,290.0,93.0,203.0,,,22.0,22.0,1.0,1.0,91.0,91.0,1.26,99,77
Public Class,org.jfree.chart.LegendItemCollection,10.0,0.0,5.0,6.0,1.0,1.0,,,,,3.0,6.0,6.0,0.0,,0.0,1.0,,,,8.0,1.0,8.0,8.0,0.0,0.0,0.0,8.0,,101.0,11.0,40.0,13.0,18.0,50.0,,16.0,28.0,13.0,16.0,,,4.0,4.0,1.0,1.0,0.0,0.0,1.25,11,11
Public Interface,org.jfree.chart.LegendItemSource,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,3.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,10.0,2.0,3.0,2.0,0.0,5.0,,1.0,2.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0,0
Public Final Class,org.jfree.chart.LegendRenderingOrder,13.0,0.0,7.0,6.0,2.0,2.0,,,,,2.0,2.0,2.0,0.0,,0.0,3.0,,,,4.0,1.0,4.0,4.0,0.0,2.0,0.0,2.0,,77.0,9.0,36.0,12.0,18.0,32.0,,14.0,24.0,10.0,16.0,,,4.0,4.0,1.0,1.0,25.0,0.0,0.89,9,9
Class,org.jfree.chart.MouseWheelHandler,17.0,0.0,10.0,7.0,2.0,1.0,,,,,3.0,9.0,9.0,0.0,,0.0,0.0,,,,5.0,2.0,5.0,5.0,0.0,1.0,0.0,4.0,,102.0,9.0,53.0,19.0,32.0,41.0,,27.0,40.0,19.0,28.0,,,5.0,1.0,1.0,1.0,30.0,20.0,0.77,12,5
Public Class,org.jfree.chart.PolarChartPanel,20.0,1.0,13.0,6.0,3.0,1.0,,,,,1.0,10.0,10.0,0.0,,0.0,3.0,,,,7.0,0.0,7.0,130.0,0.0,2.0,1.0,4.0,,201.0,20.0,101.0,31.0,65.0,80.0,,52.0,71.0,27.0,57.0,,,5.0,1.0,3.0,3.0,0.0,0.0,0.79,18,7
Public Interface,org.jfree.chart.RenderingSource,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,3.0,3.0,2.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,32.0,4.0,5.0,4.0,0.0,23.0,,3.0,4.0,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0,0
Public Class,org.jfree.chart.StandardChartTheme,17.0,0.0,10.0,7.0,3.0,1.0,,,,,5.0,65.0,65.0,1.0,,3.0,0.0,,,,90.0,32.0,93.0,93.0,0.0,2.0,21.0,70.0,,1776.0,147.0,948.0,192.0,580.0,681.0,,457.0,696.0,196.0,540.0,,,34.0,34.0,1.0,3.0,92.0,84.0,0.72,237,126
