Kind,Name,PercentLackOfCohesion,PercentLackOfCohesionModified
Public Class,org.jfree.chart.BufferedImageRenderingSource,50,50
Public Class,org.jfree.chart.ChartColor,0,0
Public Abstract Class,org.jfree.chart.ChartFactory,5,0
Public Class,org.jfree.chart.ChartFrame,33,0
Public Class,org.jfree.chart.ChartMouseEvent,50,50
Public Interface,org.jfree.chart.ChartMouseListener,0,0
Public Class,org.jfree.chart.ChartPanel,97,93
Public Class,org.jfree.chart.ChartRenderingInfo,64,59
Public Interface,org.jfree.chart.ChartTheme,0,0
Public Class,org.jfree.chart.ChartTransferable,70,45
Public Abstract Class,org.jfree.chart.ChartUtilities,0,0
Public Interface,org.jfree.chart.Drawable,0,0
Public Interface,org.jfree.chart.Effect3D,0,0
Public Class,org.jfree.chart.JFreeChart,90,75
Class,org.jfree.chart.JFreeChartInfo,0,0
Public Class,org.jfree.chart.LegendItem,91,91
Public Class,org.jfree.chart.LegendItemCollection,0,0
Public Interface,org.jfree.chart.LegendItemSource,0,0
Public Final Class,org.jfree.chart.LegendRenderingOrder,25,0
Class,org.jfree.chart.MouseWheelHandler,30,20
Public Class,org.jfree.chart.PolarChartPanel,0,0
Public Interface,org.jfree.chart.RenderingSource,0,0
Public Class,org.jfree.chart.StandardChartTheme,92,84
Anonymous Class,org.jfree.chart.StandardChartTheme.createLegacyTheme.(Anon_1),0,0
Public Abstract Class,org.jfree.chart.annotations.AbstractAnnotation,55,45
Public Abstract Class,org.jfree.chart.annotations.AbstractXYAnnotation,38,38
Public Interface,org.jfree.chart.annotations.Annotation,0,0
Public Interface,org.jfree.chart.annotations.CategoryAnnotation,0,0
Public Class,org.jfree.chart.annotations.CategoryLineAnnotation,65,65
Public Class,org.jfree.chart.annotations.CategoryPointerAnnotation,72,72
Public Class,org.jfree.chart.annotations.CategoryTextAnnotation,45,45
Public Class,org.jfree.chart.annotations.TextAnnotation,69,69
Public Interface,org.jfree.chart.annotations.XYAnnotation,0,0
Public Interface,org.jfree.chart.annotations.XYAnnotationBoundsInfo,0,0
Public Class,org.jfree.chart.annotations.XYBoxAnnotation,51,29
Public Class,org.jfree.chart.annotations.XYDataImageAnnotation,71,65
Public Class,org.jfree.chart.annotations.XYDrawableAnnotation,39,22
Public Class,org.jfree.chart.annotations.XYImageAnnotation,65,56
Public Class,org.jfree.chart.annotations.XYLineAnnotation,46,33
Public Class,org.jfree.chart.annotations.XYPointerAnnotation,72,72
Public Class,org.jfree.chart.annotations.XYPolygonAnnotation,50,35
Public Class,org.jfree.chart.annotations.XYShapeAnnotation,33,11
Public Class,org.jfree.chart.annotations.XYTextAnnotation,81,80
Public Class,org.jfree.chart.annotations.XYTitleAnnotation,65,58
Public Class,org.jfree.chart.annotations.junit.AnnotationsPackageTests,0,0
Public Class,org.jfree.chart.annotations.junit.CategoryLineAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.CategoryPointerAnnotationTests,0,0
Public Class,org.jfree.chart.annotations.junit.CategoryTextAnnotationTests,0,0
