Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion,LCOM,CohesionLevel
Public Class,org.apache.commons.collections.ArrayStack,0,0,0,High
Public Class,org.apache.commons.collections.BagUtils,0,0,0,High
Public Class,org.apache.commons.collections.BeanMap,69,84,84,Very Low
Anonymous Class,org.apache.commons.collections.BeanMap.(Anon_1),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.(Anon_2),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.(Anon_3),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.(Anon_4),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.(Anon_5),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.(Anon_6),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.(Anon_7),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.(Anon_8),0,0,0,High
Protected Static Class,org.apache.commons.collections.BeanMap.MyMapEntry,0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.entryIterator.(Anon_11),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.entrySet.(Anon_9),0,0,0,High
Anonymous Class,org.apache.commons.collections.BeanMap.valueIterator.(Anon_10),0,0,0,High
Public Final Class,org.apache.commons.collections.BinaryHeap,41,72,72,Low
Anonymous Class,org.apache.commons.collections.BinaryHeap.iterator.(Anon_1),17,17,17,High
Public Class,org.apache.commons.collections.BoundedFifoBuffer,46,64,64,Low
Anonymous Class,org.apache.commons.collections.BoundedFifoBuffer.iterator.(Anon_1),22,22,22,High
Public Class,org.apache.commons.collections.BufferOverflowException,0,25,25,High
Public Class,org.apache.commons.collections.BufferUnderflowException,0,25,25,High
Public Class,org.apache.commons.collections.BufferUtils,0,0,0,High
Public Class,org.apache.commons.collections.ClosureUtils,0,0,0,High
Public Class,org.apache.commons.collections.CollectionUtils,85,98,98,Very Low
Public Class,org.apache.commons.collections.ComparatorUtils,0,0,0,High
Public Class,org.apache.commons.collections.CursorableLinkedList,50,74,74,Low
Public Class,org.apache.commons.collections.CursorableLinkedList.Cursor,50,60,60,Low
Class,org.apache.commons.collections.CursorableLinkedList.ListIter,30,50,50,Medium
Static Class,org.apache.commons.collections.CursorableLinkedList.Listable,57,57,57,Low
Class,org.apache.commons.collections.CursorableSubList,63,92,92,Very Low
Public Abstract Class,org.apache.commons.collections.DefaultMapBag,56,77,77,Very Low
Static Class,org.apache.commons.collections.DefaultMapBag.BagIterator,19,19,19,High
Public Class,org.apache.commons.collections.DefaultMapEntry,30,60,60,Low
Public Final Class,org.apache.commons.collections.DoubleOrderedMap,86,93,93,Very Low
Private Abstract Class,org.apache.commons.collections.DoubleOrderedMap.DoubleOrderedMapIterator,31,31,31,Medium
Private Static Final Class,org.apache.commons.collections.DoubleOrderedMap.Node,81,81,81,Very Low
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.entrySet.(Anon_11),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.entrySet.(Anon_11).iterator.(Anon_12),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.entrySetByValue.(Anon_1),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.entrySetByValue.(Anon_1).iterator.(Anon_2),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.keySet.(Anon_7),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.keySet.(Anon_7).iterator.(Anon_8),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.keySetByValue.(Anon_3),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.keySetByValue.(Anon_3).iterator.(Anon_4),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.values.(Anon_9),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.values.(Anon_9).iterator.(Anon_10),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.valuesByValue.(Anon_5),0,0,0,High
Anonymous Class,org.apache.commons.collections.DoubleOrderedMap.valuesByValue.(Anon_5).iterator.(Anon_6),0,0,0,High
Public Class,org.apache.commons.collections.EnumerationUtils,0,0,0,High
Public Class,org.apache.commons.collections.ExtendedProperties,82,93,93,Very Low
