Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential,LCOM,CohesionLevel
Public Implicit Method,clone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,,
Protected Method,org.apache.commons.collections.AbstractTestObject.getCanonicalEmptyCollectionName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,0.0,11.0,3.0,9.0,0.0,9.0,9.0,10.0,3.0,9.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Protected Method,org.apache.commons.collections.AbstractTestObject.getCanonicalFullCollectionName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11.0,0.0,11.0,3.0,9.0,0.0,9.0,9.0,10.0,3.0,9.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.getCompatibilityVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,19.0,0.0,3.0,1.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,5.33,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.isEqualsCheckable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.33,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.isTestSerialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.33,1,1,,
Public Abstract Method,org.apache.commons.collections.AbstractTestObject.makeObject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,5.0,0,0,,
Protected Method,org.apache.commons.collections.AbstractTestObject.readExternalFormFromBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,0.0,4.0,2.0,2.0,9.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,2.25,1,1,,
Protected Method,org.apache.commons.collections.AbstractTestObject.readExternalFormFromDisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,14.0,0.0,4.0,2.0,2.0,10.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,2.5,1,1,,
Private Method,org.apache.commons.collections.AbstractTestObject.readExternalFormFromStream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Protected Method,org.apache.commons.collections.AbstractTestObject.skipSerializedCanonicalTests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.supportsEmptyCollections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.supportsFullCollections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.33,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.testCanonicalEmptyCollectionExists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,11.0,3.0,7.0,4.0,7.0,3.0,6.0,3.0,5.0,3.0,1.0,,,,2.0,,,0.36,3,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.testCanonicalFullCollectionExists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,11.0,3.0,7.0,4.0,7.0,3.0,6.0,3.0,5.0,3.0,1.0,,,,2.0,,,0.36,3,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.testEqualsNull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,0.25,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.testObjectEqualsSelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.testObjectHashCodeEqualsContract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.0,0.0,17.0,3.0,13.0,0.0,5.0,5.0,8.0,3.0,7.0,3.0,1.0,,,,1.0,,,0.0,3,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.testObjectHashCodeEqualsSelfHashCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,4.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.testSerializeDeserializeThenCompare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,1.0,15.0,6.0,11.0,0.0,8.0,9.0,12.0,6.0,11.0,3.0,1.0,,,,2.0,,,0.0,3,1,,
Public Method,org.apache.commons.collections.AbstractTestObject.testSimpleSerialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,7.0,4.0,4.0,8.0,4.0,3.0,5.0,4.0,4.0,2.0,1.0,,,,1.0,,,1.14,2,1,,
Protected Method,org.apache.commons.collections.AbstractTestObject.writeExternalFormToBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,0.0,5.0,2.0,3.0,8.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,,,,0.0,,,1.6,1,1,,
Protected Method,org.apache.commons.collections.AbstractTestObject.writeExternalFormToDisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,0.0,4.0,2.0,2.0,12.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,3.0,1,1,,
Private Method,org.apache.commons.collections.AbstractTestObject.writeExternalFormToStream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.0,,,0.0,1,1,,
