Kind,Name,PercentLackOfCohesionModified,PercentLackOfCohesion,LCOM,CohesionLevel
Public Class,org.apache.commons.lang3.AnnotationUtils,0,0,0,High
Anonymous Class,org.apache.commons.lang3.AnnotationUtils.(Anon_1),0,0,0,High
Public Class,org.apache.commons.lang3.ArrayUtils,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.add.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.add.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.addAll.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.clone.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.isNotEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.remove.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.removeAll.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.removeElement.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.removeElements.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.subarray.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ArrayUtils.toArray.T,0,0,0,High
Public Class,org.apache.commons.lang3.BitField,36,72,72,Low
Public Class,org.apache.commons.lang3.BooleanUtils,0,0,0,High
Public Class,org.apache.commons.lang3.CharEncoding,0,0,0,High
Final Class,org.apache.commons.lang3.CharRange,39,63,63,Low
Private Static Class,org.apache.commons.lang3.CharRange.CharacterIterator,33,40,40,Medium
Public Class,org.apache.commons.lang3.CharSequenceUtils,0,0,0,High
Public Class,org.apache.commons.lang3.CharSet,0,25,25,High
Public Class,org.apache.commons.lang3.CharSetUtils,0,0,0,High
Public Class,org.apache.commons.lang3.CharUtils,0,0,0,High
Public Class,org.apache.commons.lang3.CharUtilsPerfRun,0,0,0,High
Class,org.apache.commons.lang3.ClassNotFoundSerialization,0,0,0,High
Public Class,org.apache.commons.lang3.ClassUtils,0,0,0,High
Public Class,org.apache.commons.lang3.Conversion,0,0,0,High
Public Class,org.apache.commons.lang3.EnumUtils,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.asEnum.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.checkBitVectorable.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.generateBitVector.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.generateBitVector.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.generateBitVectors.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.generateBitVectors.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.getEnum.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.getEnumList.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.getEnumMap.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.isValidEnum.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.processBitVector.E,0,0,0,High
Generic Parameter,org.apache.commons.lang3.EnumUtils.processBitVectors.E,0,0,0,High
Public Class,org.apache.commons.lang3.LocaleUtils,0,0,0,High
Static Class,org.apache.commons.lang3.LocaleUtils.SyncAvoid,0,0,0,High
Public Class,org.apache.commons.lang3.ObjectUtils,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.CONST.T,0,0,0,High
Public Static Class,org.apache.commons.lang3.ObjectUtils.Null,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.clone.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.cloneIfPossible.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.compare.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.compare.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.defaultIfNull.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.firstNonNull.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.max.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.median.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.median.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.min.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.ObjectUtils.mode.T,0,0,0,High
Public Class,org.apache.commons.lang3.RandomStringUtils,0,0,0,High
Public Final Generic Class,org.apache.commons.lang3.Range,51,69,69,Low
Generic Parameter,org.apache.commons.lang3.Range.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Range.between.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Range.between.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Range.is.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.Range.is.T,0,0,0,High
Public Class,org.apache.commons.lang3.SerializationException,0,0,0,High
Public Class,org.apache.commons.lang3.SerializationUtils,0,0,0,High
Static Class,org.apache.commons.lang3.SerializationUtils.ClassLoaderAwareObjectInputStream,0,0,0,High
Generic Parameter,org.apache.commons.lang3.SerializationUtils.clone.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.SerializationUtils.deserialize.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.SerializationUtils.deserialize.T,0,0,0,High
Public Class,org.apache.commons.lang3.StringEscapeUtils,0,0,0,High
Static Class,org.apache.commons.lang3.StringEscapeUtils.CsvEscaper,0,0,0,High
Static Class,org.apache.commons.lang3.StringEscapeUtils.CsvUnescaper,0,0,0,High
Public Class,org.apache.commons.lang3.StringUtils,0,0,0,High
Generic Parameter,org.apache.commons.lang3.StringUtils.defaultIfBlank.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.StringUtils.defaultIfEmpty.T,0,0,0,High
Generic Parameter,org.apache.commons.lang3.StringUtils.join.T,0,0,0,High
