Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,Essential,MaxCyclomatic,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumEssential,LCOM,CohesionLevel
Public Implicit Method,clone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0.0,High
Public Method,org.jfree.chart.BufferedImageRenderingSource.createGraphics2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,0.0,3.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,2.0,Very Low
Public Method,org.jfree.chart.BufferedImageRenderingSource.getSelectionState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,19.0,0.0,10.0,3.0,6.0,9.0,6.0,4.0,7.0,3.0,6.0,3.0,3.0,,,,2.0,,,0.9,3,3,0.9,Low
Public Method,org.jfree.chart.BufferedImageRenderingSource.putSelectionState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,0.0,4.0,2.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.25,1,1,2.25,Very Low
Public Static Method,org.jfree.chart.ChartColor.createDefaultPaintArray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,46.0,1.0,38.0,1.0,36.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,0.18,1,1,0.18,High
Public Static Method,org.jfree.chart.ChartFactory.createAreaChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,34.0,2.0,16.0,10.0,12.0,16.0,10.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,1.0,1,1,1.0,Low
Public Static Method,org.jfree.chart.ChartFactory.createBarChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,39.0,2.0,21.0,14.0,17.0,16.0,12.0,12.0,13.0,8.0,12.0,1.0,1.0,,,,0.0,,,0.76,1,1,0.76,Low
Public Static Method,org.jfree.chart.ChartFactory.createBarChart3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,34.0,2.0,16.0,10.0,12.0,16.0,10.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,1.0,1,1,1.0,Low
Public Static Method,org.jfree.chart.ChartFactory.createBoxAndWhiskerChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,34.0,3.0,15.0,10.0,11.0,16.0,10.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,1.07,1,1,1.07,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createBoxAndWhiskerChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,28.0,2.0,13.0,9.0,9.0,13.0,8.0,8.0,9.0,6.0,8.0,1.0,1.0,,,,0.0,,,1.0,1,1,1.0,Low
Public Static Method,org.jfree.chart.ChartFactory.createBubbleChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,32.0,2.0,16.0,9.0,13.0,14.0,10.0,11.0,12.0,6.0,11.0,1.0,1.0,,,,0.0,,,0.88,1,1,0.88,Low
Public Static Method,org.jfree.chart.ChartFactory.createCandlestickChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,27.0,2.0,12.0,8.0,8.0,13.0,8.0,7.0,8.0,5.0,7.0,1.0,1.0,,,,0.0,,,1.08,1,1,1.08,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createGanttChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,36.0,2.0,17.0,10.0,13.0,17.0,10.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,1.0,1,1,1.0,Low
Public Static Method,org.jfree.chart.ChartFactory.createHighLowChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,28.0,2.0,13.0,9.0,9.0,13.0,9.0,8.0,9.0,6.0,8.0,1.0,1.0,,,,0.0,,,1.0,1,1,1.0,Low
Public Static Method,org.jfree.chart.ChartFactory.createHighLowChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,34.0,2.0,14.0,9.0,10.0,18.0,10.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,1.29,1,1,1.29,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createHistogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,28.0,2.0,13.0,8.0,10.0,13.0,9.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,1.0,1,1,1.0,Low
Public Static Method,org.jfree.chart.ChartFactory.createLineChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,33.0,2.0,15.0,10.0,11.0,16.0,9.0,8.0,9.0,6.0,8.0,1.0,1.0,,,,0.0,,,1.07,1,1,1.07,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createLineChart3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,34.0,3.0,15.0,10.0,11.0,16.0,9.0,8.0,9.0,6.0,8.0,1.0,1.0,,,,0.0,,,1.07,1,1,1.07,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createMultiplePieChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,33.0,2.0,18.0,8.0,13.0,13.0,11.0,11.0,13.0,5.0,12.0,2.0,1.0,,,,1.0,,,0.72,2,1,0.72,Low
Public Static Method,org.jfree.chart.ChartFactory.createMultiplePieChart3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,43.0,4.0,26.0,11.0,21.0,13.0,19.0,18.0,20.0,7.0,19.0,2.0,1.0,,,,1.0,,,0.5,2,1,0.5,Medium
Public Static Method,org.jfree.chart.ChartFactory.createPieChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,0.0,4.0,2.0,1.0,10.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.5,1,1,2.5,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createPieChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,28.0,2.0,11.0,5.0,8.0,15.0,10.0,7.0,8.0,3.0,7.0,1.0,1.0,,,,0.0,,,1.36,1,1,1.36,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createPieChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,114.0,7.0,68.0,19.0,50.0,39.0,25.0,28.0,37.0,13.0,33.0,14.0,1.0,,,,3.0,,,0.57,14,1,0.57,Medium
Public Static Method,org.jfree.chart.ChartFactory.createPieChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,111.0,7.0,68.0,19.0,50.0,36.0,25.0,28.0,37.0,13.0,33.0,14.0,1.0,,,,3.0,,,0.53,14,1,0.53,Medium
Public Static Method,org.jfree.chart.ChartFactory.createPieChart3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,26.0,2.0,10.0,5.0,7.0,14.0,8.0,6.0,7.0,3.0,6.0,1.0,1.0,,,,0.0,,,1.4,1,1,1.4,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createPieChart3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,23.0,2.0,10.0,5.0,7.0,11.0,8.0,6.0,7.0,3.0,6.0,1.0,1.0,,,,0.0,,,1.1,1,1,1.1,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createPolarChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,29.0,2.0,15.0,6.0,12.0,12.0,13.0,11.0,12.0,4.0,11.0,1.0,1.0,,,,0.0,,,0.8,1,1,0.8,Low
Public Static Method,org.jfree.chart.ChartFactory.createRingChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,2.0,4.0,2.0,1.0,10.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.5,1,1,2.5,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createRingChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,27.0,1.0,11.0,5.0,8.0,15.0,10.0,7.0,8.0,3.0,7.0,1.0,1.0,,,,0.0,,,1.36,1,1,1.36,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createScatterPlot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,32.0,2.0,15.0,8.0,12.0,15.0,10.0,11.0,12.0,6.0,11.0,1.0,1.0,,,,0.0,,,1.0,1,1,1.0,Low
Public Static Method,org.jfree.chart.ChartFactory.createStackedAreaChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,35.0,2.0,16.0,10.0,12.0,17.0,10.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,1.06,1,1,1.06,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createStackedBarChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,34.0,2.0,15.0,10.0,11.0,17.0,9.0,8.0,9.0,6.0,8.0,1.0,1.0,,,,0.0,,,1.13,1,1,1.13,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createStackedBarChart3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,34.0,2.0,15.0,10.0,11.0,17.0,9.0,8.0,9.0,6.0,8.0,1.0,1.0,,,,0.0,,,1.13,1,1,1.13,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createStackedXYAreaChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,35.0,3.0,18.0,9.0,14.0,15.0,13.0,13.0,14.0,6.0,13.0,1.0,1.0,,,,0.0,,,0.83,1,1,0.83,Low
Public Static Method,org.jfree.chart.ChartFactory.createTimeSeriesChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,39.0,2.0,20.0,11.0,16.0,19.0,13.0,14.0,15.0,7.0,13.0,1.0,1.0,,,,0.0,,,0.95,1,1,0.95,Low
Public Static Method,org.jfree.chart.ChartFactory.createWaferMapChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,21.0,2.0,10.0,6.0,7.0,9.0,6.0,6.0,7.0,4.0,6.0,1.0,1.0,,,,0.0,,,0.9,1,1,0.9,Low
Public Static Method,org.jfree.chart.ChartFactory.createWaterfallChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,44.0,2.0,26.0,15.0,21.0,16.0,17.0,17.0,18.0,9.0,17.0,1.0,1.0,,,,0.0,,,0.62,1,1,0.62,Medium
Public Static Method,org.jfree.chart.ChartFactory.createWindPlot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,29.0,4.0,14.0,9.0,10.0,11.0,10.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,0.79,1,1,0.79,Low
Public Static Method,org.jfree.chart.ChartFactory.createXYAreaChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,33.0,2.0,15.0,8.0,12.0,16.0,11.0,11.0,12.0,6.0,11.0,1.0,1.0,,,,0.0,,,1.07,1,1,1.07,Very Low
Public Static Method,org.jfree.chart.ChartFactory.createXYBarChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,49.0,4.0,28.0,11.0,19.0,17.0,11.0,15.0,18.0,8.0,15.0,3.0,1.0,,,,1.0,,,0.61,3,1,0.61,Medium
Public Static Method,org.jfree.chart.ChartFactory.createXYLineChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,2.0,13.0,8.0,10.0,12.0,9.0,9.0,10.0,6.0,9.0,1.0,1.0,,,,0.0,,,0.92,1,1,0.92,Low
Public Static Method,org.jfree.chart.ChartFactory.createXYStepAreaChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,30.0,1.0,18.0,10.0,14.0,11.0,12.0,12.0,13.0,6.0,12.0,1.0,1.0,,,,0.0,,,0.61,1,1,0.61,Medium
Public Static Method,org.jfree.chart.ChartFactory.createXYStepChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,29.0,2.0,16.0,8.0,13.0,11.0,14.0,12.0,13.0,6.0,12.0,1.0,1.0,,,,0.0,,,0.69,1,1,0.69,Medium
Public Static Method,org.jfree.chart.ChartFactory.getChartTheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,0.0,3.0,1.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,3.33,1,1,3.33,Very Low
Public Static Method,org.jfree.chart.ChartFactory.setChartTheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,1.0,17.0,2.0,11.0,13.0,9.0,7.0,11.0,2.0,9.0,4.0,1.0,,,,2.0,,,0.76,4,1,0.76,Low
Public Method,org.jfree.chart.ChartFrame.getChartPanel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,1.67,Very Low
Public Method,org.jfree.chart.ChartMouseEvent.getChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,1.67,Very Low
Public Method,org.jfree.chart.ChartMouseEvent.getEntity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,1.67,Very Low
Public Method,org.jfree.chart.ChartMouseEvent.getTrigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,1.67,1,1,1.67,Very Low
Abstract Method,org.jfree.chart.ChartMouseListener.chartMouseClicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,5.0,0,0,5.0,Very Low
Abstract Method,org.jfree.chart.ChartMouseListener.chartMouseMoved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,,,6.0,0,0,6.0,Very Low
Public Method,org.jfree.chart.ChartPanel.actionPerformed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,65.0,4.0,53.0,4.0,35.0,8.0,18.0,19.0,35.0,4.0,32.0,16.0,1.0,,,,2.0,,,0.15,16,1,0.15,High
Public Method,org.jfree.chart.ChartPanel.addChartMouseListener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,11.0,0.0,6.0,1.0,3.0,5.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,,,,1.0,,,0.83,2,1,0.83,Low
Public Method,org.jfree.chart.ChartPanel.addMouseHandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,0.0,6.0,1.0,3.0,9.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,,,,1.0,,,1.5,2,1,1.5,Very Low
Public Method,org.jfree.chart.ChartPanel.addOverlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15.0,0.0,8.0,1.0,5.0,7.0,3.0,4.0,6.0,1.0,5.0,2.0,1.0,,,,1.0,,,0.88,2,1,0.88,Low
Public Method,org.jfree.chart.ChartPanel.chartChanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,0.0,9.0,3.0,6.0,5.0,5.0,5.0,7.0,3.0,5.0,2.0,1.0,,,,1.0,,,0.56,2,1,0.56,Medium
Public Method,org.jfree.chart.ChartPanel.chartProgress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0.0,,,3.0,1,1,3.0,Very Low
Public Method,org.jfree.chart.ChartPanel.clearLiveMouseHandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.0,1,1,2.0,Very Low
Public Method,org.jfree.chart.ChartPanel.createChartPrintJob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,21.0,2.0,16.0,4.0,10.0,3.0,7.0,6.0,10.0,4.0,9.0,4.0,1.0,,,,3.0,,,0.19,4,1,0.19,High
Public Method,org.jfree.chart.ChartPanel.createGraphics2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,0.0,3.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.67,1,1,2.67,Very Low
Protected Method,org.jfree.chart.ChartPanel.createPopupMenu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,14.0,0.0,4.0,2.0,1.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,0.0,,,2.5,1,1,2.5,Very Low
Protected Method,org.jfree.chart.ChartPanel.createPopupMenu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,157.0,26.0,118.0,18.0,106.0,13.0,15.0,77.0,87.0,10.0,85.0,10.0,1.0,,,,2.0,,,0.11,10,1,0.11,High
Protected Method,org.jfree.chart.ChartPanel.displayPopupMenu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,60.0,8.0,43.0,5.0,30.0,9.0,5.0,16.0,28.0,5.0,24.0,12.0,1.0,,,,2.0,,,0.21,12,1,0.21,High
Public Method,org.jfree.chart.ChartPanel.doCopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,16.0,0.0,11.0,8.0,8.0,5.0,11.0,6.0,7.0,6.0,6.0,1.0,1.0,,,,0.0,,,0.45,1,1,0.45,Medium
Public Method,org.jfree.chart.ChartPanel.doEditChartProperties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,17.0,2.0,9.0,4.0,6.0,6.0,4.0,3.0,5.0,3.0,4.0,2.0,1.0,,,,1.0,,,0.67,2,1,0.67,Medium
Public Method,org.jfree.chart.ChartPanel.doSaveAs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,27.0,3.0,18.0,6.0,13.0,6.0,12.0,8.0,12.0,5.0,11.0,4.0,1.0,,,,3.0,,,0.33,4,1,0.33,Medium
